classification,seller_institution_id,seller_name,loanbook_ref,loan_id,borrower_id,borrower_display_name,vehicle_type,state,origination_date,as_of_date,original_principal_inr,principal_outstanding_inr,annual_interest_rate_percent,original_term_months,instalments_paid,scheduled_instalment_inr,days_past_due,missed_instalments
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0019,SYN-A-BR-0019,Synthetic Borrower A0019,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,177500.0,121884.32,18.0,48,19,5214.06,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0020,SYN-A-BR-0020,Synthetic Borrower A0020,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,195000.0,107641.43,14.0,36,18,6664.64,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0021,SYN-A-BR-0021,Synthetic Borrower A0021,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,212500.0,151217.65,15.0,48,17,5914.03,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0022,SYN-A-BR-0022,Synthetic Borrower A0022,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,230000.0,141135.58,16.0,36,16,8086.12,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0023,SYN-A-BR-0023,Synthetic Borrower A0023,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,247500.0,187215.26,17.0,48,15,7141.62,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0024,SYN-A-BR-0024,Synthetic Borrower A0024,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,265000.0,191898.99,18.0,36,12,9580.38,66,2
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0001,SYN-B-BR-0001,Synthetic Borrower B0001,Electric three-wheeler,Karnataka,2025-02-15,2026-09-15,247500.0,166692.39,15.0,48,19,6888.11,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0002,SYN-B-BR-0002,Synthetic Borrower B0002,Electric three-wheeler,Tamil Nadu,2025-03-15,2026-09-15,265000.0,148220.54,16.0,36,18,9316.61,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0003,SYN-B-BR-0003,Synthetic Borrower B0003,Electric three-wheeler,Maharashtra,2025-04-15,2026-09-15,282500.0,203369.01,17.0,48,17,8151.55,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0004,SYN-B-BR-0004,Synthetic Borrower B0004,Electric three-wheeler,Karnataka,2025-05-15,2026-09-15,300000.0,186206.23,18.0,36,16,10845.72,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0005,SYN-B-BR-0005,Synthetic Borrower B0005,Electric three-wheeler,Tamil Nadu,2025-06-15,2026-09-15,317500.0,236510.49,14.0,48,15,8676.16,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0006,SYN-B-BR-0006,Synthetic Borrower B0006,Electric three-wheeler,Maharashtra,2025-07-15,2026-09-15,335000.0,239506.86,15.0,36,12,11612.89,66,2
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0007,SYN-B-BR-0007,Synthetic Borrower B0007,Electric three-wheeler,Karnataka,2025-08-15,2026-09-15,352500.0,277950.97,16.0,48,13,9989.95,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0008,SYN-B-BR-0008,Synthetic Borrower B0008,Electric three-wheeler,Tamil Nadu,2025-09-15,2026-09-15,370000.0,266806.33,17.0,36,12,13191.51,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0009,SYN-B-BR-0009,Synthetic Borrower B0009,Electric three-wheeler,Maharashtra,2025-01-15,2026-09-15,230000.0,153547.38,18.0,48,20,6756.25,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0010,SYN-B-BR-0010,Synthetic Borrower B0010,Electric three-wheeler,Karnataka,2025-02-15,2026-09-15,247500.0,129756.77,14.0,36,19,8458.96,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0011,SYN-B-BR-0011,Synthetic Borrower B0011,Electric three-wheeler,Tamil Nadu,2025-03-15,2026-09-15,265000.0,183559.37,15.0,48,18,7375.15,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0012,SYN-B-BR-0012,Synthetic Borrower B0012,Electric three-wheeler,Maharashtra,2025-04-15,2026-09-15,282500.0,188292.85,16.0,36,14,9931.86,93,3
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0013,SYN-B-BR-0013,Synthetic Borrower B0013,Electric three-wheeler,Karnataka,2025-05-15,2026-09-15,300000.0,221485.88,17.0,48,16,8656.51,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0014,SYN-B-BR-0014,Synthetic Borrower B0014,Electric three-wheeler,Tamil Nadu,2025-06-15,2026-09-15,317500.0,205464.67,18.0,36,15,11478.39,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0015,SYN-B-BR-0015,Synthetic Borrower B0015,Electric three-wheeler,Maharashtra,2025-07-15,2026-09-15,335000.0,255717.5,14.0,48,14,9154.37,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0016,SYN-B-BR-0016,Synthetic Borrower B0016,Electric three-wheeler,Karnataka,2025-08-15,2026-09-15,352500.0,242949.12,15.0,36,13,12219.53,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0017,SYN-B-BR-0017,Synthetic Borrower B0017,Electric three-wheeler,Tamil Nadu,2025-09-15,2026-09-15,370000.0,298259.07,16.0,48,12,10485.9,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-3W-2025,SYN-B-LN-0018,SYN-B-BR-0018,Synthetic Borrower B0018,Electric three-wheeler,Maharashtra,2025-01-15,2026-09-15,230000.0,123116.52,17.0,36,19,8200.13,30,1
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0001,SYN-C-BR-0001,Synthetic Borrower C0001,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,317500.0,213837.71,15.0,48,19,8836.26,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0002,SYN-C-BR-0002,Synthetic Borrower C0002,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,335000.0,187373.13,16.0,36,18,11777.61,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0003,SYN-C-BR-0003,Synthetic Borrower C0003,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,352500.0,253761.33,17.0,48,17,10171.4,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0004,SYN-C-BR-0004,Synthetic Borrower C0004,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,370000.0,229654.35,18.0,36,16,13376.39,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0005,SYN-C-BR-0005,Synthetic Borrower C0005,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,387500.0,288654.54,14.0,48,15,10589.01,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0006,SYN-C-BR-0006,Synthetic Borrower C0006,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,405000.0,289553.08,15.0,36,12,14039.46,66,2
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0007,SYN-C-BR-0007,Synthetic Borrower C0007,Electric two-wheeler,Karnataka,2025-08-15,2026-09-15,422500.0,333146.9,16.0,48,13,11973.77,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0008,SYN-C-BR-0008,Synthetic Borrower C0008,Electric two-wheeler,Tamil Nadu,2025-09-15,2026-09-15,440000.0,317283.21,17.0,36,12,15687.2,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0009,SYN-C-BR-0009,Synthetic Borrower C0009,Electric two-wheeler,Maharashtra,2025-01-15,2026-09-15,300000.0,200279.19,18.0,48,20,8812.5,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0010,SYN-C-BR-0010,Synthetic Borrower C0010,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,317500.0,166455.66,14.0,36,19,10851.4,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0011,SYN-C-BR-0011,Synthetic Borrower C0011,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,335000.0,232046.76,15.0,48,18,9323.3,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0012,SYN-C-BR-0012,Synthetic Borrower C0012,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,352500.0,234949.48,16.0,36,14,12392.85,93,3
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0013,SYN-C-BR-0013,Synthetic Borrower C0013,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,370000.0,273165.92,17.0,48,16,10676.37,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0014,SYN-C-BR-0014,Synthetic Borrower C0014,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,387500.0,250763.97,18.0,36,15,14009.05,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0015,SYN-C-BR-0015,Synthetic Borrower C0015,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,405000.0,309151.01,14.0,48,14,11067.22,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0016,SYN-C-BR-0016,Synthetic Borrower C0016,Electric two-wheeler,Karnataka,2025-08-15,2026-09-15,422500.0,291194.33,15.0,36,13,14646.1,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0017,SYN-C-BR-0017,Synthetic Borrower C0017,Electric two-wheeler,Tamil Nadu,2025-09-15,2026-09-15,440000.0,354686.46,16.0,48,12,12469.72,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0018,SYN-C-BR-0018,Synthetic Borrower C0018,Electric two-wheeler,Maharashtra,2025-01-15,2026-09-15,300000.0,160586.77,17.0,36,19,10695.82,30,1
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0019,SYN-C-BR-0019,Synthetic Borrower C0019,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,317500.0,218018.43,18.0,48,19,9326.56,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-002,Synthetic Summit Vehicle Finance NBFC,SYN-EV-2W-2025,SYN-C-LN-0020,SYN-C-BR-0020,Synthetic Borrower C0020,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,335000.0,184922.45,14.0,36,18,11449.51,0,0
